0.902 9.21502e-11
0.902 8.31195e-11
0.902 7.49738e-11
0.902 6.76263e-11
0.902 6.09989e-11
0.902 5.5021e-11
0.902 4.9629e-11
0.902 4.47653e-11
0.902 4.03783e-11
0.902 3.64213e-11
0.902 3.2852e-11
0.902 2.96325e-11
0.902 2.67285e-11
0.902 2.41091e-11
0.902 2.17464e-11
0.902 1.96153e-11
0.902 1.7693e-11
0.902 1.59591e-11
0.902 1.43951e-11
0.902 1.29844e-11
0.902 1.17119e-11
0.902 1.05641e-11
0.902 9.52884e-12
0.902 8.59501e-12
0.902 7.7527e-12
0.902 6.99294e-12
0.902 6.30763e-12
0.902 5.68948e-12
0.902 5.13191e-12
0.902 4.62898e-12
0.902 4.17534e-12
0.902 3.76616e-12
0.902 3.39708e-12
0.902 3.06416e-12
0.902 2.76388e-12
0.902 2.49302e-12
0.902 2.2487e-12
0.902 2.02833e-12
0.902 1.82955e-12
0.902 1.65026e-12
0.902 1.48853e-12
0.902 1.34265e-12
0.902 1.21107e-12
0.902 1.09239e-12
0.902 9.85335e-13
0.902 8.88772e-13
0.902 8.01672e-13
0.902 7.23108e-13
0.902 6.52244e-13
0.902 5.88324e-13
0.902 5.30668e-13
0.902 4.78663e-13
0.902 4.31754e-13
0.902 3.89442e-13
0.902 3.51277e-13
0.902 3.16851e-13
0.902 2.858e-13
0.902 2.57792e-13
0.902 2.32528e-13
0.902 2.0974e-13
0.902 1.89186e-13
0.902 1.70646e-13
0.902 1.53922e-13
0.902 1.38838e-13
0.902 1.25232e-13
0.902 1.12959e-13
0.902 1.01889e-13
0.902 9.19039e-14
0.902 8.28974e-14
0.902 7.47734e-14
0.902 6.74456e-14
0.902 6.0836e-14
0.902 5.4874e-14
0.902 4.94964e-14
0.902 4.46457e-14
0.902 4.02704e-14
0.902 3.63239e-14
0.902 3.27642e-14
0.902 2.95533e-14
0.902 2.66571e-14
0.902 2.40447e-14
0.902 2.16883e-14
0.902 1.95629e-14
0.902 1.76457e-14
0.902 1.59164e-14
0.902 1.43566e-14
0.902 1.29497e-14
0.902 1.16806e-14
0.902 1.05359e-14
0.902 9.50338e-15
0.902 8.57205e-15
0.902 7.73199e-15
0.902 6.97425e-15
0.902 6.29077e-15
0.902 5.67428e-15
0.902 5.1182e-15
0.902 4.61662e-15
0.902 4.16419e-15
0.902 3.7561e-15
0.902 3.388e-15
0.902 3.05598e-15
0.902 2.75649e-15
0.902 2.48635e-15
0.902 2.24269e-15
0.902 2.02291e-15
0.902 1.82466e-15
0.902 1.64585e-15
0.902 1.48455e-15
0.902 1.33907e-15
0.902 1.20784e-15
0.902 1.08947e-15
0.902 9.82702e-16
0.902 8.86397e-16
0.902 7.9953e-16
0.902 7.21176e-16
0.902 6.50501e-16
0.902 5.86752e-16
0.902 5.2925e-16
0.902 4.77384e-16
0.902 4.306e-16
0.902 3.88401e-16
0.902 3.50338e-16
0.902 3.16005e-16
0.902 2.85036e-16
0.902 2.57103e-16
0.902 2.31907e-16
0.902 2.0918e-16
0.902 1.8868e-16
0.902 1.7019e-16
